Species,Mean D10,log10(D10),Radiosensitive,UniProt Strain,Genome,Domain,Phylum,Class,Gram,OxygenUse,GC,Temp_Opt,Temp_max
Acinetobacter radioresistens,2425,3.384711743,No,Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788,GCA_000368905.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Gram-negative,Aerobic,41.6,37,42
Spirosoma radiotolerans,9000,3.954242509,No,Spirosoma radiotolerans,GCA_000974425.1,Bacteria,Bacteroidetes,Bacteroidetes,Gram-negative,Aerobic,49.5,28,
Deinococcus ficus,7000,3.84509804,No,Deinococcus ficus,GCA_003444775.1,Bacteria,Deinococci,,Gram-negative,Aerobic,69.97,37,40
Paenibacillus amylolyticus,330,2.51851394,No,Paenibacillus amylolyticus,GCA_003719335.1,Bacteria,Bacillota,Bacilli,Gram-negative,Aerobic,45.8,30,40
Enterobacter sp. BIGb0383,420,2.62324929,No,Enterobacter sp. BIGb0383,GCA_003751845.1,Bacteria,Pseudomonadota,Enterobacterales,Gram-negative,Facultative Anaerobic,55,37,45
Salmonella enterica subsp. enterica serovar Heidelberg,330,2.51851394,No,Salmonella enterica subsp. enterica serovar Heidelberg,GCA_008124065.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Gram-negative,Facultative Anaerobic,52.1,37,
Aquifex pyrophilus,2842,3.453624074,No,Aquifex aeolicus (strain VF5),GCA_015661675.1,Bacteria,Aquificota,Aquificales,Gram-negative,Facultative Anaerobic,41.5,85,95
Proteus vulgaris,279.5,2.446381812,No,Proteus vulgaris,GCA_900455275.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Gram-negative,Facultative Anaerobic,38,25,43
Salmonella muenster,600,2.77815125,No,Salmonella muenster,GCA_008480455.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Gram-negative,Facultative Anaerobic,52.1,37,
Salmonella Senftenberg,330,2.51851394,No,Salmonella senftenberg,GCA_004768585.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Gram-negative,Facultative Anaerobic,52.1,37,50
Shigella boydii ,300,2.477121255,No,Shigella boydii serotype 18 (strain CDC 3083-94 / BS512),GCA_000020185.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Gram-negative,Facultative Anaerobic,50.6,37,47
Campylobacter jejuni ,177.5,2.249198357,Yes,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),GCA_000009085.1,Bacteria,Pseudomonadota,Epsilonproteobacteria,Gram-negative,Microaerophile,31.5,37,45
Campylobacter lari ,140,2.146128036,Yes,Campylobacter lari NCTC 11845,GCA_000816365.1,Bacteria,Pseudomonadota,Epsilonproteobacteria,Gram-negative,Microaerophile,32,42,42
Campylobacter coli,155,2.190331698,Yes,Campylobacter coli,GCA_004956825.1,Bacteria,Pseudomonadota,Epsilonproteobacteria,Gram-negative,Microaerophile,33,37,42
Shewanella oneidensis,70,1.84509804,Yes,Shewanella oneidensis (strain MR-1),GCA_000146165.2,Bacteria,Pseudomonadota,Gammaproteobacteria,Gram-negative,Facultative Anaerobic,45,30,40
Shewanella putrefaciens,110,2.041392685,Yes,Shewanella putrefaciens (strain 200),GCA_000169215.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Gram-negative,Facultative Anaerobic,45.5,32.5,40
Vibrio cholera O1,98,1.991226076,Yes,Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961),GCA_000006745.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Gram-negative,Facultative Anaerobic,48,,40
Neisseria gonorrhoeae,125,2.096910013,Yes,Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090),GCA_000006845.1,Bacteria,Pseudomonadota,Betaproteobacteria,Gram-negative,Aerobic,51.4,36,
Serratia marcescens,60,1.77815125,Yes,Serratia marcescens,GCA_001051865.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Gram-negative,Facultative Anaerobic,58.8,37,40
Aeromonas hydrophila,150,2.176091259,Yes,Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC 13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049),GCA_000014805.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Gram-negative,Facultative Anaerobic,60,29.5,40
Acinetobacter calcaeceticus,120,2.079181246,Yes,Acinetobacter calcoaceticus ANC 3680,APQH01,Bacteria,Pseudomonadota,Gammaproteobacteria,Gram-negative,Aerobic,38.6,35,45
Salmonella paratyphi,120,2.079181246,Yes,Salmonella paratyphi C (strain RKS4594),GCA_000018385.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Gram-negative,Facultative Anaerobic,52.1,37,42
Yersinia enterocolitica,155,2.190331698,Yes,Yersinia enterocolitica subsp. enterocolitica,GCA_901472495.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Gram-negative,Facultative Anaerobic,47,37,98
Klebsiella variicola,184,2.264817823,Yes,Klebsiella variicola,GCA_014489395.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Gram-negative,Facultative Anaerobic,57.2,35,37
Vibrio parahaemolyticus,48.33333333,1.684246747,Yes,Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633),GCA_000196095.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Gram-negative,Facultative Anaerobic,45.3,35,40
